sample_id	Identified_proteins	Identified_peptides	Median_precursor_mass_error_ppm	Median_precursor_mass_error_ppm_signed	Pct_charge_2plus	Pct_charge_3plus	Pct_zero_missed_cleavages	Identified_precursors	Median_RT_FWHM	Median_IM_FWHM
142_Klebsiella_aerogenes_DSM30053_DDA100_4350	1787	10852	1.4610756344280469	0.0684137438832982	70.86456485666876	24.054471591234194	88.12725296103451	13029	5.8630004	0.020000001
143_Ralstonia_condita_HST_2644_DDA100_6498	1394	7069	1.3973397117781352	0.0	73.3852140077821	23.813229571984433	86.92607003891051	8519	5.8630004	0.020000001
144_Corynebacterium_pseudotuberculosis_DSM7177_DDA100_4444	1219	7945	1.457866681007755	0.16582045723664518	70.31799476243921	25.469509913954358	89.76430976430977	9646	5.8630004	0.020000001
145_Ralstonia_insidiosa_Rp_127_DDA100_5402	1437	6998	1.4200168815130505	0.0	70.16609496298972	27.107781187940063	89.43852680989349	8358	5.8630004	0.018000001
146_Staphylococcus_aureus_DSM4910_DDA100_5428	1269	9536	1.3318729548182686	0.06378372724037153	68.18809681100234	27.21758452945769	87.06384000960902	11723	5.8630004	0.020000001
147_Corynebacterium_pseudotuberculosis_DSM7178_DDA100_4438	1207	8170	1.4685301015780077	0.09453526418950772	71.64018892228424	24.459710891655934	89.46615142407327	9958	5.8630004	0.020000001
148_Salmonella_enterica_sv_enteritidis_LT21-Ib_08-01796_DDA100_5410	1446	8819	1.3867032509799901	0.05073353332830395	72.62177749982628	23.424362448752692	88.85414495170593	10437	5.8630004	0.020000001
149_Staphylococcus_aureus_DSM25693_DDA100_5432	1297	9378	1.3087022483177448	0.0	67.82635658914728	27.634108527131783	86.46201550387596	11499	5.8630004	0.020000001
150_Corynebacterium_ulcerans_DSM46325_DDA100_4338	1350	9764	1.3788115761412914	0.0	64.37773312847182	30.705590355749912	89.36886892802269	12139	5.8630004	0.018000001
151_Salmonella_enterica_sv_typhimurium_DT104_08-01627_DDA100_5398	1647	10888	1.3444495512922803	0.0	65.60344351856962	29.744495336901938	86.60669940952485	13248	5.8630004	0.020000001
152_Staphylococcus_epidermidis_DSM1798_DDA100_5318	936	5777	1.223842108972657	0.10532059476525368	70.74718526100308	24.58546571136131	87.68679631525077	6878	5.8630004	0.020000001
153_Enterobacter_cloacae_ssp_cloacae_DSM30054_DDA100_4271	1686	10021	1.448479007577164	0.0	72.71420536216486	23.148553215424037	89.43816011499281	11873	5.8630004	0.020000001
154_Shigella_boydii_06-06820_DDA100_5404	1309	8399	1.3505909068973794	0.08506716520562392	74.19821906899298	22.56569897922247	89.57503800767394	9911	5.8630004	0.020000001
156_Klebsiella_aerogenes_E19_DDA100_5416	1859	11110	1.4263183158472192	0.0	67.98791996979993	27.530604540797064	87.93614841179959	13549	5.8630004	0.020000001
157_Shigella_flexneri_3A_07-02503_DDA100_5408	1532	9680	1.4743119570385497	0.0	69.28533110806461	26.458842462895632	87.54842939738928	11818	5.8630004	0.020000001
158_Staphylococcus_hominis_ssp_hominis_DSM20328_DDA100_5322	1075	7777	1.3467366552525988	0.06666627826233705	66.05305116683577	29.685461661110306	84.99782577185098	9615	5.8630004	0.020000001
159_Enterobacter_hormaechei_ssp_hoffmannii_DSM14563_DDA100_4292	1817	10010	1.6131262231613601	0.0	72.75492891827064	22.588193997542856	84.71889077400105	12118	5.8630004	0.020000001
160_Staphylococcus_aureus_DSM20231_DDA100_5320	1222	9134	1.3589144447849282	0.06703617902360197	68.60472285590974	27.64658733584068	86.990566619397	11307	5.8630004	0.020000001
161_Staphylococcus_lugdunensis_DSM4804_DDA100_5330	1074	6325	1.2307561558536317	0.23646977116268478	68.32167161890156	26.598293875203684	87.81750215661842	7513	5.8630004	0.020000001
162_Enterobacter_hormaechei_ssp_hormaechei_DSM12409_DDA100_4290	1644	9693	1.4229489912060045	0.05543744914999976	74.74747474747475	21.44020853698273	88.10035842293907	11357	5.8630004	0.020000001
163_Klebsiella_pneumoniae_ssp_pneumonia_DSM30104_DDA100_4380	1574	8799	1.3571177462499002	0.16492856696371955	74.23179813462511	22.232665750849538	88.7137589472923	10299	5.8630004	0.020000001
164_Staphylococcus_lugdunensis_09-00515_DDA100_5424	1248	8807	1.3410706050969132	0.0	68.00727566693614	26.926704392347077	86.33791430881163	10677	5.8630004	0.020000001
165_Enterobacter_hormaechei_ssp_steigerwaltii_DSM16691_DDA100_4286	1600	9219	1.5219917663627642	0.054888143178575675	75.71343441700324	19.89670926306032	86.75097662716017	10899	5.8630004	0.020000001
167_Yersinia_enterocolitica_DSM11503_DDA100_6492	1715	10589	1.373841642965445	0.0	74.13272571916832	22.700085445741955	85.19510111079465	12810	5.8630004	0.020000001
168_Klebsiella_oxytoca_DSM5175_DDA100_5360	1769	7941	1.5130154751197027	0.052844435227623054	71.55172413793103	24.947065940713852	88.0520266182698	9566	5.8630004	0.020000001
169_Staphylococcus_epidermidis_DSM20044_DDA100_5392	1083	8277	1.3181258490908254	0.0	66.65756417258328	28.48170398689241	85.97078099399236	10304	5.8630004	0.020000001
173_Leclercia_adecarboxylata_DSM5077_DDA100_4348	1376	7268	1.3344266850832134	0.20658576792655792	71.72365908696406	23.91945842735636	89.42023954174623	8498	5.8630004	0.020000001
174_Legionella_pneumophila_ssp_fraseri_DSM7514_DDA100_4396	1395	7593	1.5066735085219538	0.08699141763051169	67.85430883986669	28.114584986510078	88.55737184573877	9326	5.8630004	0.018000001
178_Clostridium_perfringens_DSM628_DDA100_5250	1139	7858	1.4321526082907783	0.09290979768843963	78.25221238938053	19.66076696165192	86.51917404129793	9136	5.8630004	0.020000001
180_Legionella_pneumophila_ssp_pascullei_DSM7515_DDA100_4424	1452	8780	1.3965757359530167	0.1623878022077596	70.155790078254	25.586905018307128	90.56644410941202	10441	5.8630004	0.020000001
181_Prevotella_intermedia_DSM20706_DDA100_5268	818	3745	1.165587543055104	0.1967616056717713	84.49009809365168	14.19581713862669	91.65278548954284	4091	5.8630004	0.020000001
182_Clostridioides_difficile_DSM12057_DDA100_5296	1375	8603	1.6180550081073497	0.0	73.26192666579051	23.64962544355369	85.10973846760416	10340	5.8630004	0.020000001
183_Prevotella_melaninogenica_DSM7089_DDA100_5302	1095	7114	1.3992554914033948	0.07626597856751924	76.3899049012436	21.680687637161668	89.88661302121433	8196	5.8630004	0.018000001
