sample_id	Identified_proteins	Identified_peptides	Median_precursor_mass_error_ppm	Median_precursor_mass_error_ppm_signed	Pct_charge_2plus	Pct_charge_3plus	Pct_zero_missed_cleavages	Identified_precursors	Median_RT_FWHM	Median_IM_FWHM	MS1_TIC_median	MS1_TIC_CV	MS2_precursor_events	MS1_frames	MS2_frames	Gradient_min	Total.Protein.Number.Ref	MS1_TIC_CV_pct	Protein.Identification.Rate
116_Citrobacter_amalonaticus_DSM4593_DDA100_4336	1576	7024	1.5517922058954412	0.0	68.6613360846015	27.50408391367896	87.79124752815751	8562	5.8630004	0.018000001	749021.0	1.1101702655650851	38441	1043	5307	11.496892083333334	5139	111.01702655650851	30.667445028215607
117_Citrobacter_amalonaticus_DSM17342_DDA100_4356	1478	6644	1.5594029449286582	0.0	67.79029539607913	27.960613856116385	87.15514947219019	8158	5.8630004	0.018000001	711308.0	1.1084914765526823	38110	1035	5325	11.4966062	5139	110.84914765526823	28.760459233313874
118_Pseudomonas_aeruginosa_DSM50071_DDA100_5354	2052	11867	1.45058982795642	0.0	72.73330018233052	23.7029670147522	89.92762031051438	13908	5.8630004	0.020000001	4434131.0	1.0208074537288183	39905	957	5416	11.497934783333331	5563	102.08074537288184	36.88657199352867
119_Pseudomonas_aeruginosa_DSM1117_DDA100_5396	1719	10505	1.3212260275689114	0.0	68.4028619936939	28.17729808391948	90.38321610477809	12493	5.8630004	0.018000001	2736074.5	1.0401619038571217	35526	966	5404	11.4967398	5563	104.01619038571216	30.90059320510516
120_Citrobacter_freundii_DSM14984_DDA100_4400	1362	5778	1.6081763313390849	0.0843429678586661	70.3609037930682	26.060729986708925	87.32235967692465	6999	5.8630004	0.020000001	1644763.0	1.0688912991497417	40901	1014	5348	11.498221433333333	4792	106.88912991497416	28.422370617696156
121_Pseudomonas_aeruginosa_DSM29238_DDA100_5412	1861	11084	1.3362172318772858	0.0	67.76147216398789	28.6512928022362	89.96622408572094	13138	5.8630004	0.018000001	2364357.0	1.0410825687494514	35229	973	5397	11.49693105	5563	104.10825687494514	33.453172748516984
122_Enterococcus_durans_P25_3_DDA100_6486	675	3010	1.3368751017417897	0.2382832649424228	82.25302616165561	15.638422491214367	87.77821163607966	3385	5.8630004	0.020000001	1027393.0	1.0828386900146414	38667	1049	5322	11.49710285	2651	108.28386900146414	25.462089777442475
123_Citrobacter_freundii_DSM24120_DDA100_4404	1291	5492	1.6085063831460529	0.0743576814685539	70.91201716738198	25.43991416309013	86.7274678111588	6617	5.8630004	0.020000001	786945.5	1.0893166933010674	40970	1040	5311	11.4969508	4792	108.93166933010674	26.94073455759599
125_Klebsiella_aerogenes_E56_DDA100_6496	1615	9263	1.2236645147969962	0.0969449354705426	76.96204288390813	20.33863021303171	88.39081257372841	10716	5.8630004	0.020000001	988459.0	1.1012691704636914	38917	1064	5345	11.497511966666668	4909	110.12691704636914	32.898757384396006
126_Citrobacter_koseri_DSM4570_DDA100_4426	1707	10022	1.5040223318282488	0.0842737509153669	71.29685428468122	24.56912136916958	88.0197661805472	12097	5.8630004	0.020000001	1522228.0	1.0660151240906364	40774	1017	5341	11.496883966666667	5019	106.60151240906363	34.01075911536163
127_Ralstonia_pickettii_DSM6297_DDA100_5334	1620	10156	1.4386638959808176	0.0	66.64715523296651	29.261297120112385	86.9468508546008	12533	5.8630004	0.018000001	2752552.0	1.0590020484692555	37599	986	5380	11.497428133333331	4773	105.90020484692555	33.9409176618479
128_Klebsiella_oxytoca_Oman_61_DDA100_5440	1601	7744	1.425532791520013	0.0625865930063432	69.56083178150217	26.76908752327747	87.88795779019243	9306	5.8630004	0.020000001	4137895.5	1.0393593948211957	38525	968	5400	11.498323033333332	5789	103.93593948211957	27.65589911901883
